source_io_code,source_io_name,target_io_code,target_io_name,value
0111,벼,7520,사회보험(국공립),0.001020962071319981
0111,벼,7601,교육서비스(국공립),0.004781215949752196
0111,벼,7602,교육서비스(비영리),0.001887114720321067
0111,벼,7603,교육서비스(산업),0.001421380050351729
0111,벼,7701,의료 및 보건(국공립),0.001372285391362249
0111,벼,7702,의료 및 보건(비영리),0.000991960104223965
0111,벼,7703,의료 및 보건(산업),0.001307777982021111
0111,벼,7801,사회복지서비스(국공립),0.002325529980770721
0111,벼,7802,사회복지서비스(비영리),0.009691621893633231
0111,벼,7901,문화서비스(국공립),0.0008147192981644801
0111,벼,7902,"연극, 음악 및 기타예술",0.00107309322050269
0111,벼,7903,기타 문화서비스,0.001825913756198903
0111,벼,7904,여행사 및 여행보조 서비스,0.001540615724102129
0111,벼,8001,스포츠서비스,0.001241166893872678
0111,벼,8002,오락서비스,0.00415306102657277
0111,벼,8101,산업 및 전문가단체,0.004475818423916636
0111,벼,8109,기타 사회단체,0.005664356712862566
0111,벼,8211,자동차 수리서비스,0.0007231653792078828
0111,벼,8212,전자통신기기 및 가정용품 수리서비스,0.000923251915600978
0111,벼,8221,미용관련 서비스,0.001274581910829036
0111,벼,8222,세탁,0.001010179604937929
0111,벼,8223,가사서비스,0.0
0111,벼,8229,기타 개인 서비스,0.0008336075453153427
0111,벼,8300,기타,0.001260608833398825
0112,맥류 및 잡곡,0111,벼,1.295867853940978e-05
0112,맥류 및 잡곡,0112,맥류 및 잡곡,1.00156458215595
0112,맥류 및 잡곡,0113,콩류,1.101328651547483e-05
0112,맥류 및 잡곡,0114,감자류,9.002663491860921e-06
0112,맥류 및 잡곡,0121,채소,1.274271972152817e-05
0112,맥류 및 잡곡,0122,과실,1.272664474485008e-05
0112,맥류 및 잡곡,0191,화훼작물,1.944360793150542e-05
0112,맥류 및 잡곡,0192,약용작물,9.754496993229164e-06
0112,맥류 및 잡곡,0193,잎담배,1.030898567979629e-05
0112,맥류 및 잡곡,0194,천연고무,0.0
0112,맥류 및 잡곡,0195,종자,3.017989155319072e-05
0112,맥류 및 잡곡,0196,기타식용작물,1.16053837995056e-05
0112,맥류 및 잡곡,0199,기타 비식용작물,0.0001106312868828751
0112,맥류 및 잡곡,0211,낙농,0.0006301171416804233
0112,맥류 및 잡곡,0212,축우,0.0004190071929863217
0112,맥류 및 잡곡,0291,양돈,0.000456528729438035
0112,맥류 및 잡곡,0292,가금,0.0005670447922914807
0112,맥류 및 잡곡,0299,기타축산,0.000484724900970286
0112,맥류 및 잡곡,0301,영림,1.347167299278665e-05
0112,맥류 및 잡곡,0302,원목,3.112526330978867e-05
0112,맥류 및 잡곡,0303,식용 임산물,1.710511352264185e-05
0112,맥류 및 잡곡,0309,기타 임산물,1.742184295848231e-05
0112,맥류 및 잡곡,0401,수산어획,1.980519512744123e-05
0112,맥류 및 잡곡,0402,수산양식,0.0001185852603128074
0112,맥류 및 잡곡,0500,농림어업 서비스,3.537248722951266e-05
0112,맥류 및 잡곡,0611,무연탄,5.160555127229256e-05
